order_id,region,market,booked_month,mw,order_value,expected_conversion,actual_conversion,slip_months,reason,material_at_risk
NX-00848,LATAM,LATAM,2025-12-01,65.6,5182400.0,2026-09-01,2026-12-01,2.91,schedule slip,2591200.0
NX-00767,North America,US / Canada,2025-11-01,47.1,3909300.0,2026-04-01,2026-06-01,2.19,schedule slip,1954650.0
NX-00760,LATAM,LATAM,2025-10-01,48.7,3847300.0,2026-03-01,2027-04-01,12.83,schedule slip,1923650.0
NX-00446,APAC,Australia/SEA,2025-02-01,43.6,3662400.0,2026-02-01,2026-06-01,4.39,schedule slip,1831200.0
NX-00074,North America,US / Canada,2024-03-01,43.1,3577300.0,2024-11-01,2025-04-01,4.89,schedule slip,1788650.0
NX-00441,EMEA,Europe,2025-02-01,40.3,3546399.9999999995,2026-01-01,2026-09-01,8.03,schedule slip,1773199.9999999998
NX-00713,APAC,India,2025-09-01,49.5,3514500.0,2026-04-01,2026-11-01,7.05,schedule slip,1757250.0
NX-00599,EMEA,MENA,2025-06-01,42.6,3450600.0,2025-11-01,,6.11,cancelled,1725300.0
NX-00436,North America,US / Canada,2025-02-01,40.0,3320000.0,2025-10-01,2026-02-01,4.11,schedule slip,1660000.0
NX-00158,North America,US / Canada,2024-05-01,39.4,3270200.0,2024-12-01,,0.69,cancelled,1635100.0
NX-00491,LATAM,LATAM,2025-03-01,40.9,3231100.0,2026-03-01,2027-06-01,14.94,schedule slip,1615550.0
NX-00817,North America,US / Canada,2025-12-01,37.7,3129100.0000000005,2026-07-01,2026-09-01,2.19,schedule slip,1564550.0000000002
NX-00440,EMEA,Europe,2025-02-01,35.5,3124000.0,2025-10-01,2026-01-01,2.83,schedule slip,1562000.0
NX-00132,EMEA,MENA,2024-04-01,37.1,3005100.0,2024-12-01,2025-05-01,4.63,schedule slip,1502550.0
NX-00019,EMEA,MENA,2024-01-01,36.2,2932200.0,2025-01-01,,0.09,cancelled,1466100.0
NX-00638,EMEA,MENA,2025-07-01,34.7,2810700.0,2026-04-01,,0.13,cancelled,1405350.0
NX-00605,LATAM,LATAM,2025-06-01,34.3,2709700.0,2026-01-01,2026-05-01,3.61,schedule slip,1354850.0
NX-00639,APAC,Australia/SEA,2025-07-01,31.7,2662800.0,2026-04-01,2026-08-01,4.27,schedule slip,1331400.0
NX-00202,APAC,Australia/SEA,2024-06-01,30.4,2553600.0,2025-01-01,,0.02,cancelled,1276800.0
NX-00544,North America,US / Canada,2025-05-01,29.0,2407000.0,2025-10-01,2026-07-01,9.28,schedule slip,1203500.0
NX-00616,North America,US / Canada,2025-07-01,28.9,2398700.0,2025-12-01,2026-04-01,3.64,schedule slip,1199350.0
NX-00705,EMEA,Europe,2025-09-01,27.0,2376000.0,2026-02-01,2026-08-01,6.49,schedule slip,1188000.0
NX-00754,EMEA,MENA,2025-10-01,28.6,2316600.0,2026-03-01,,0.33,cancelled,1158300.0
NX-00795,North America,US / Canada,2025-11-01,27.7,2299100.0,2027-01-01,,0.37,cancelled,1149550.0
NX-00135,APAC,Australia/SEA,2024-04-01,27.3,2293200.0,2024-09-01,2025-03-01,6.49,schedule slip,1146600.0
NX-00604,APAC,Australia/SEA,2025-06-01,26.4,2217600.0,2026-03-01,2026-07-01,3.54,schedule slip,1108800.0
NX-00123,North America,US / Canada,2024-04-01,26.3,2182900.0,2024-09-01,2025-03-01,5.73,schedule slip,1091450.0
NX-00196,EMEA,Europe,2024-06-01,24.8,2182400.0,2024-11-01,,0.84,cancelled,1091200.0
NX-00303,North America,US / Canada,2024-10-01,25.8,2141400.0,2025-05-01,,0.2,cancelled,1070700.0
NX-00798,EMEA,Europe,2025-11-01,23.3,2050400.0,2026-06-01,2026-08-01,2.11,schedule slip,1025200.0
NX-00204,LATAM,LATAM,2024-06-01,25.5,2014500.0,2024-11-01,2025-07-01,8.39,schedule slip,1007250.0
NX-00551,North America,US / Canada,2025-05-01,24.2,2008600.0,2026-06-01,2026-09-01,2.88,schedule slip,1004300.0
NX-00646,North America,US / Canada,2025-08-01,22.6,1875800.0000000002,2026-01-01,2026-03-01,2.31,schedule slip,937900.0000000001
NX-00608,North America,US / Canada,2025-07-01,22.2,1842600.0,2026-08-01,2027-01-01,5.14,schedule slip,921300.0
NX-00644,LATAM,LATAM,2025-07-01,23.3,1840700.0,2025-12-01,2026-11-01,11.21,schedule slip,920350.0
NX-00682,LATAM,LATAM,2025-08-01,23.2,1832800.0,2026-12-01,2027-05-01,4.51,schedule slip,916400.0
NX-00372,EMEA,MENA,2024-12-01,22.1,1790100.0,2025-06-01,2025-10-01,3.84,schedule slip,895050.0
NX-00643,LATAM,LATAM,2025-07-01,21.9,1730100.0,2026-04-01,2026-09-01,4.52,schedule slip,865050.0
NX-00013,EMEA,Europe,2024-01-01,19.0,1672000.0,2024-12-01,2025-07-01,6.8,schedule slip,836000.0
NX-00820,North America,US / Canada,2025-12-01,19.9,1651699.9999999998,2026-07-01,2026-10-01,2.57,schedule slip,825849.9999999999
NX-00464,North America,US / Canada,2025-03-01,19.9,1651699.9999999998,2025-11-01,2026-02-01,2.93,schedule slip,825849.9999999999
NX-00406,LATAM,LATAM,2025-01-01,20.9,1651100.0,2025-10-01,2026-01-01,2.91,schedule slip,825550.0
NX-00351,APAC,India,2024-11-01,23.0,1633000.0,2025-09-01,2025-12-01,3.03,schedule slip,816500.0
NX-00745,North America,US / Canada,2025-10-01,19.5,1618500.0,2026-05-01,2026-09-01,4.32,schedule slip,809250.0
NX-00806,APAC,Australia/SEA,2025-11-01,19.2,1612800.0,2026-04-01,2026-08-01,4.12,schedule slip,806400.0
NX-00841,EMEA,MENA,2025-12-01,19.8,1603800.0,2026-10-01,2026-12-01,2.05,schedule slip,801900.0
NX-00714,APAC,India,2025-09-01,22.1,1569100.0,2026-12-01,2027-02-01,2.25,schedule slip,784550.0
NX-00205,LATAM,LATAM,2024-06-01,19.6,1548400.0,2025-05-01,2025-11-01,6.36,schedule slip,774200.0
NX-00569,LATAM,LATAM,2025-05-01,19.3,1524700.0,2026-03-01,2026-07-01,3.58,schedule slip,762350.0
NX-00503,North America,US / Canada,2025-04-01,18.3,1518900.0,2025-09-01,2025-12-01,3.07,schedule slip,759450.0
NX-00632,EMEA,Europe,2025-07-01,17.2,1513600.0,2026-02-01,2026-06-01,3.82,schedule slip,756800.0
NX-00057,APAC,India,2024-02-01,21.3,1512300.0,2024-10-01,,20.23,cancelled,756150.0
NX-00486,EMEA,MENA,2025-03-01,18.1,1466100.0,2026-08-01,2027-08-01,11.55,schedule slip,733050.0
NX-00096,North America,US / Canada,2024-04-01,17.5,1452500.0,2024-10-01,2024-12-01,2.47,schedule slip,726250.0
NX-00353,LATAM,LATAM,2024-11-01,18.3,1445700.0,2025-10-01,,0.13,cancelled,722850.0
NX-00671,North America,US / Canada,2025-08-01,16.9,1402699.9999999998,2026-06-01,2026-09-01,2.65,schedule slip,701349.9999999999
NX-00528,EMEA,Europe,2025-04-01,15.7,1381600.0,2025-09-01,2026-02-01,4.92,schedule slip,690800.0
NX-00023,APAC,India,2024-01-01,19.3,1370300.0,2025-01-01,2026-07-01,18.15,schedule slip,685150.0
NX-00041,North America,US / Canada,2024-02-01,16.5,1369500.0,2024-07-01,2024-09-01,2.37,schedule slip,684750.0
NX-00518,North America,US / Canada,2025-04-01,16.4,1361199.9999999998,2026-03-01,2026-06-01,3.31,schedule slip,680599.9999999999
NX-00447,LATAM,LATAM,2025-02-01,17.1,1350900.0,2025-07-01,2025-10-01,2.78,schedule slip,675450.0
NX-00389,North America,US / Canada,2025-01-01,16.2,1344600.0,2025-06-01,2025-09-01,3.08,schedule slip,672300.0
NX-00021,APAC,India,2024-01-01,18.9,1341900.0,2024-06-01,2026-02-01,20.04,schedule slip,670950.0
NX-00261,EMEA,MENA,2024-08-01,16.5,1336500.0,2025-01-01,2025-03-01,2.3,schedule slip,668250.0
NX-00683,LATAM,LATAM,2025-08-01,16.9,1335100.0,2026-10-01,,0.37,cancelled,667550.0
NX-00408,LATAM,LATAM,2025-01-01,16.4,1295600.0,2025-06-01,2025-10-01,4.08,schedule slip,647800.0
NX-00232,APAC,Australia/SEA,2024-07-01,14.6,1226400.0,2025-03-01,2025-05-01,2.11,schedule slip,613200.0
NX-00498,North America,US / Canada,2025-04-01,14.7,1220100.0,2025-10-01,2026-01-01,2.99,schedule slip,610050.0
NX-00450,North America,US / Canada,2025-03-01,14.4,1195200.0,2025-08-01,2025-11-01,2.72,schedule slip,597600.0
NX-00782,North America,US / Canada,2025-11-01,14.4,1195200.0,2026-11-01,2027-04-01,5.38,schedule slip,597600.0
NX-00488,APAC,India,2025-03-01,16.8,1192800.0,2026-01-01,2026-07-01,5.85,schedule slip,596400.0
NX-00038,North America,US / Canada,2024-02-01,14.3,1186900.0,2024-09-01,2025-04-01,6.97,schedule slip,593450.0
NX-00662,North America,US / Canada,2025-08-01,14.1,1170300.0,2026-02-01,,0.04,cancelled,585150.0
NX-00136,LATAM,LATAM,2024-04-01,14.6,1153400.0,2025-03-01,2026-08-01,16.53,schedule slip,576700.0
NX-00374,APAC,India,2024-12-01,16.0,1136000.0,2025-07-01,2027-02-01,18.61,schedule slip,568000.0
NX-00349,EMEA,MENA,2024-11-01,13.9,1125900.0,2025-08-01,2025-12-01,4.48,schedule slip,562950.0
NX-00291,APAC,India,2024-09-01,15.8,1121800.0,2025-08-01,2025-10-01,2.14,schedule slip,560900.0
NX-00259,EMEA,Europe,2024-08-01,12.7,1117600.0,2026-02-01,2026-07-01,5.01,schedule slip,558800.0
NX-00435,North America,US / Canada,2025-02-01,13.2,1095600.0,2025-10-01,2026-04-01,6.22,schedule slip,547800.0
NX-00618,North America,US / Canada,2025-07-01,12.7,1054100.0,2026-05-01,2026-07-01,2.28,schedule slip,527050.0
NX-00844,APAC,India,2025-12-01,14.8,1050800.0,2026-05-01,2027-11-01,18.43,schedule slip,525400.0
NX-00008,North America,US / Canada,2024-01-01,12.5,1037500.0,2024-06-01,2024-09-01,3.42,schedule slip,518750.0
NX-00840,EMEA,MENA,2025-12-01,12.8,1036800.0,2026-05-01,2026-10-01,4.56,schedule slip,518400.0
NX-00487,EMEA,MENA,2025-03-01,12.5,1012500.0,2026-01-01,2026-04-01,2.8,schedule slip,506250.0
NX-00289,EMEA,MENA,2024-09-01,12.4,1004400.0,2025-05-01,2025-09-01,3.83,schedule slip,502200.0
NX-00572,North America,US / Canada,2025-06-01,12.1,1004300.0,2025-12-01,2026-04-01,4.21,schedule slip,502150.0
NX-00172,LATAM,LATAM,2024-05-01,12.7,1003300.0,2025-01-01,2025-07-01,6.16,schedule slip,501650.0
NX-00199,EMEA,Europe,2024-06-01,11.3,994400.0000000001,2025-06-01,2025-12-01,6.45,schedule slip,497200.00000000006
NX-00805,APAC,India,2025-11-01,14.0,994000.0,2026-05-01,2028-01-01,20.46,schedule slip,497000.0
NX-00294,LATAM,LATAM,2024-09-01,12.5,987500.0,2025-05-01,,0.2,cancelled,493750.0
NX-00350,APAC,India,2024-11-01,13.9,986900.0,2025-05-01,2026-06-01,13.14,schedule slip,493450.0
NX-00566,APAC,India,2025-05-01,13.6,965600.0,2026-05-01,2026-08-01,3.21,schedule slip,482800.0
NX-00677,EMEA,MENA,2025-08-01,11.8,955800.0,2026-01-01,2026-05-01,4.44,schedule slip,477900.0
NX-00800,EMEA,Europe,2025-11-01,10.7,941599.9999999999,2026-09-01,2026-12-01,3.36,schedule slip,470799.99999999994
NX-00649,North America,US / Canada,2025-08-01,11.3,937900.0000000001,2026-04-01,,0.03,cancelled,468950.00000000006
NX-00059,LATAM,LATAM,2024-02-01,11.8,932200.0,2024-08-01,2024-12-01,3.54,schedule slip,466100.0
NX-00633,EMEA,Europe,2025-07-01,10.5,924000.0,2026-03-01,2026-05-01,2.06,schedule slip,462000.0
NX-00116,North America,US / Canada,2024-04-01,11.0,913000.0,2024-09-01,2024-12-01,2.72,schedule slip,456500.0
NX-00003,North America,US / Canada,2024-01-01,10.8,896400.0000000001,2024-06-01,2024-09-01,2.58,schedule slip,448200.00000000006
NX-00587,North America,US / Canada,2025-06-01,10.7,888099.9999999999,2027-04-01,2027-06-01,2.02,schedule slip,444049.99999999994
NX-00310,North America,US / Canada,2024-10-01,10.3,854900.0000000001,2025-04-01,2025-06-01,2.13,schedule slip,427450.00000000006
NX-00493,LATAM,LATAM,2025-03-01,10.6,837400.0,2025-08-01,,0.23,cancelled,418700.0
NX-00233,APAC,Australia/SEA,2024-07-01,9.7,814799.9999999999,2024-12-01,2025-03-01,3.36,schedule slip,407399.99999999994
